Region,Year,Working Population (People),Capital($),Technology ($),GDP ($)
Region A,1998,2036712,1709380,6553,189859
Region A,1999,2070452,1732908,6895,195476
Region A,2000,2118195,1756884,6312,209329
Region A,2001,2125244,1753318,6825,212395
Region A,2002,2120386,1740251,7126,211789
Region A,2003,2115328,1718928,7543,214003
Region A,2004,2146549,1725032,7878,227364
Region A,2005,2174324,1734386,8497,231573
Region A,2006,2204868,1751451,8690,237280
Region A,2007,2249880,1767373,9954,247248
Region A,2008,2261293,1769889,10360,243856
Region A,2009,2203325,1699245,9907,233562
Region A,2010,2173623,1673114,9779,232357
Region A,2011,2208580,1688186,9594,228454
Region A,2012,2224479,1706144,9788,228212
Region A,2013,2247404,1718152,11298,224931
Region A,2014,2267590,1731857,11297,223546
Region A,2015,2289486,1741397,12561,228517
Region A,2016,2302300,1742685,12957,230720
Region B,1998,477015,417879,862,47120
Region B,1999,489870,429712,809,51765
Region B,2000,502824,437114,801,54253
Region B,2001,502740,435784,862,56618
Region B,2002,500850,431581,954,54701
Region B,2003,504490,431694,985,55588
Region B,2004,518739,441003,1033,57741
Region B,2005,529403,446581,1056,57069
Region B,2006,537977,451218,1059,58308
Region B,2007,546263,452462,1111,57835
Region B,2008,546559,452314,1155,55273
Region B,2009,527793,430765,1148,57350
Region B,2010,523113,426675,1239,56541
Region B,2011,531272,430161,1252,57919
Region B,2012,534761,433583,1078,57013
Region B,2013,545109,441611,1015,56189
Region B,2014,556981,451082,970,59155
Region B,2015,569246,459450,989,60458
Region B,2016,576620,464301,1024,60613
Region C,1998,698417,652232,3723,75778
Region C,1999,711538,664926,4169,78951
Region C,2000,735305,684236,3657,79302
Region C,2001,741781,688978,4075,83072
Region C,2002,757967,704084,4858,85221
Region C,2003,753817,698723,5200,86767
Region C,2004,763780,705133,5844,90878
Region C,2005,769802,708394,6416,92500
Region C,2006,779728,715513,6071,93801
Region C,2007,791013,720920,6478,96309
Region C,2008,797840,724819,6312,99039
Region C,2009,800070,723857,5980,98415
Region C,2010,809918,732179,5886,101689
Region C,2011,828003,744088,5810,103539
Region C,2012,834838,749686,5379,103733
Region C,2013,848651,759102,5810,103540
Region C,2014,861314,767949,5695,105042
Region C,2015,874389,777160,5825,106742
Region C,2016,889431,789137,6038,109308
Region D,1998,8317356,6976587,23612,569488
Region D,1999,8578361,7227372,26581,597492
Region D,2000,8880711,7448054,27520,623599
Region D,2001,8938750,7473528,31955,645193
Region D,2002,9055369,7515173,36095,671816
Region D,2003,9279218,7660147,36943,696876
Region D,2004,9655496,7901881,34742,726845
Region D,2005,10081657,8177620,34505,773024
Region D,2006,10400599,8398686,33593,797997
Region D,2007,10557490,8402503,33019,799113
Region D,2008,10296804,8127759,33953,764086
Region D,2009,9879406,7635641,33327,721755
Region D,2010,9813712,7528307,32307,727658
Region D,2011,10048428,7612793,31050,723317
Region D,2012,10255574,7767188,30831,729372
Region D,2013,10544027,7939949,33590,744576
Region D,2014,10944829,8199434,33843,763681
Region D,2015,11371094,8476957,35537,791435
Region D,2016,11708333,8739974,37819,815073