Region,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Region A,100,"      Forestry, fishing, and related activities",2925,2887,2608,2425,2638,2354,2507,2465,2524,2618,2643,2577,2413,2389,2420,2444,2554,2322,2269
Region A,200,"      Mining, quarrying, and oil and gas extraction",1908,1902,1866,2019,1794,2083,1900,1899,2182,2760,2921,2825,3108,2654,3677,3595,3306,3690,3696
Region A,300,      Utilities,9964,9877,9808,9448,9133,8940,8782,8763,6873,6919,7109,6954,6774,6543,6333,6570,6459,6282,6433
Region A,400,      Construction,99957,102749,107245,110907,107736,110386,118760,123568,126833,128830,123433,110756,102046,103554,104667,108065,110490,111821,112383
Region A,500,      Manufacturing,253937,245566,240832,233276,218460,207117,204914,202480,201132,199464,194864,179990,173352,174451,173605,172911,168466,168102,165846
Region A,600,      Wholesale trade,72736,72282,74541,73988,72120,70968,72271,74173,75445,75624,76769,72553,69934,71136,70556,70358,73950,73667,75151
Region A,700,      Retail trade,227497,227502,231340,229659,230442,227275,229413,232127,231696,232166,227361,218101,214304,217368,218355,220734,222544,222738,223455
Region A,800,      Transportation and warehousing,48375,48746,50040,49748,48389,49763,50769,52310,52877,53673,53130,50315,49056,51092,52299,53452,54720,59813,61133
Region A,900,      Information,49691,49569,51689,50719,46241,45452,45186,45070,44323,44780,44166,40664,38279,38463,38135,39149,39304,39096,39110
Region A,1000,      Finance and insurance,156399,158613,162723,160867,162278,162851,162623,165238,168146,177838,188579,198783,192687,203303,199567,198307,188340,191190,189279
Region A,1100,      Real estate and rental and leasing,72709,69259,78113,80529,81899,85690,92145,99187,102593,107724,108049,106249,109989,113266,110841,111784,115488,118065,122426
Region A,1200,"      Professional, scientific, and technical services",131547,141563,148011,151537,149951,148452,152452,151287,154882,160778,160972,154207,153210,154448,155171,156688,161935,164187,167633
Region A,1300,      Management of companies and enterprises,31862,31313,30584,29716,29004,28187,26467,26396,27812,28229,31191,30357,30443,31154,33095,33128,34536,35975,36459
Region A,1400,      Administrative and support and waste management and remediation services,104814,111966,114554,111382,109635,109897,114848,116096,119892,122414,118701,109694,110321,112424,116082,118126,119114,120016,119581
Region A,1500,      Educational services,53357,55501,57791,58967,62376,64523,66353,67125,69613,71105,73148,75758,78597,78297,79524,81058,84412,85394,87489
Region A,1600,      Health care and social assistance,226019,232255,235437,240582,246106,248579,251335,254080,259528,268798,275926,280566,283916,288092,292582,296730,299370,302931,306105
Region A,1700,"      Arts, entertainment, and recreation",37125,40018,42301,42269,43911,44523,45849,46247,46695,47665,48843,48383,48982,50222,51399,52317,54166,52885,53669
Region A,1800,      Accommodation and food services,100841,104249,105321,106128,108688,111744,113448,116102,119867,122905,124770,121746,121507,125565,129318,133681,137255,138062,140758
Region A,1900,      Other services (except public administration),99544,103542,105125,106122,109990,110347,112722,113898,116254,118726,117134,114562,110047,113280,115211,115864,119153,121916,123417
Region A,2000,    Government and government enterprises,245855,251543,258465,264744,269380,266067,264907,267175,267622,268448,272581,269269,265486,261004,261695,261681,261247,260485,255526
Region B,100,"      Forestry, fishing, and related activities",1392,1345,1217,1010,927,786,828,835,822,860,840,830,800,799,799,785,789,799,799
Region B,200,"      Mining, quarrying, and oil and gas extraction",300,289,200,200,222,240,216,195,185,225,210,200,198,178,167,150,140,145,156
Region B,300,      Utilities,2617,2607,2381,2276,2248,2244,2249,2241,2247,2210,2299,2204,2174,2015,2076,2153,2210,2253,2271
Region B,500,      Manufacturing,43771,44673,43266,40167,37820,36408,35563,34060,34198,34398,32780,29083,27215,26887,26993,26726,27099,28540,27287
Region B,510,        Durable goods manufacturing,19794,20947,19967,17616,16643,14997,14958,14138,14591,14491,13523,10859,10372,10373,10312,10185,9982,10251,10257
Region B,600,      Wholesale trade,13575,13569,14557,14337,14505,15088,15844,16068,16344,16040,15743,14478,13621,13813,13791,13617,14079,13974,14360
Region B,700,      Retail trade,57731,59246,60562,58322,59094,60286,61043,62570,63013,63933,62052,59075,58450,59544,59366,60244,61197,62034,62903
Region B,800,      Transportation and warehousing,11309,11879,11991,12270,12209,12284,13412,13229,13866,14236,13809,12853,12418,12811,13196,14620,15812,18168,18487
Region B,900,      Information,8548,8705,9025,8865,7889,7752,7382,7698,7757,7984,8147,7573,7142,7015,6831,6706,6490,6172,6062
Region B,1000,      Finance and insurance,42208,43460,44963,48804,48838,46999,46463,48577,47344,48642,50389,52030,50285,52698,52915,54573,54796,57277,57356
Region B,1100,      Real estate and rental and leasing,15150,14661,16664,16886,17185,18198,20147,22190,23572,25321,25315,24879,25189,26271,25670,26044,26778,27521,28592
Region B,1200,"      Professional, scientific, and technical services",31253,33008,34954,34870,33095,34032,35976,34192,34105,35554,36137,34357,34010,36013,37481,38917,39493,39452,36992
Region B,1300,      Management of companies and enterprises,11030,10912,11107,12515,12727,12067,13169,13166,12792,12062,11839,11030,10522,9136,8680,7205,6836,6338,10323
Region B,1400,      Administrative and support and waste management and remediation services,29107,31160,31408,29815,26867,26670,27808,28366,29539,30618,29686,27802,27765,28275,28164,30193,31904,32762,33088
Region B,1500,      Educational services,6177,6451,6743,7263,7810,7890,8110,8632,9225,9156,9182,9201,9208,9021,9056,9471,9933,9844,9955
Region B,1600,      Health care and social assistance,42493,43633,45480,46749,47901,49663,51125,52929,54516,56970,61082,62115,62902,64372,65728,67736,69837,72828,74672
Region B,1700,"      Arts, entertainment, and recreation",9649,10491,11539,11036,12027,12406,12726,13030,13083,12869,13136,12947,13725,14180,14104,14756,15447,15262,15098
Region B,1800,      Accommodation and food services,29218,29175,30094,30402,30890,31528,33076,33666,34132,34683,35330,35109,35733,36596,37244,38310,39441,41042,42122
Region B,1900,      Other services (except public administration),22983,23460,23302,23790,24988,25600,26570,27573,27954,28562,28706,27425,27010,27351,27138,25798,26400,26958,27370
Region B,2000,    Government and government enterprises,64054,64536,66226,66884,67496,67674,67450,68288,69596,70508,71699,71652,72937,72791,73788,74139,74117,73225,73684
Region C,100,"      Forestry, fishing, and related activities",45,60,54,53,50,53,46,56,56,62,63,84,65,72,73,85,69,71,70
Region C,200,"      Mining, quarrying, and oil and gas extraction",269,257,234,230,239,240,202,228,229,239,341,323,458,325,462,451,419,464,465
Region C,300,      Utilities,1857,2278,2759,2345,2543,2615,2543,2627,2491,2435,2390,2503,1891,1884,1918,1986,2015,2151,2173
Region C,400,      Construction,10877,11441,13225,13570,14545,15399,14969,15123,15289,15499,15733,14474,13392,14899,16487,17195,17428,17600,18353
Region C,500,      Manufacturing,3891,3963,3946,3763,3429,2951,2809,2481,2165,2150,2032,1942,1730,1629,1580,1782,1775,1836,1975
Region C,600,      Wholesale trade,4449,4835,4962,4789,4642,4919,5039,5129,5256,5475,5302,5144,5274,5202,5536,5381,5763,5733,6011
Region C,700,      Retail trade,20218,20384,20458,19945,19932,20317,20723,20806,21233,21501,21683,21157,21626,22103,22518,23573,24748,25878,26403
Region C,800,      Transportation and warehousing,7943,8043,8042,7983,7543,7341,7106,7102,6729,6598,6320,6245,6299,6681,6935,7263,8625,11305,11690
Region C,900,      Information,25266,26278,28471,27983,27523,26901,26239,25124,24978,24699,23430,21748,21146,21162,19884,19521,19889,19619,19502
Region C,1000,      Finance and insurance,20380,21377,22077,21233,21094,20923,20769,20796,20848,21984,22368,22964,22866,24333,24224,24658,24622,25068,24682
Region C,1100,      Real estate and rental and leasing,17478,17012,19651,18700,18731,19011,19910,21142,21843,23096,22786,23000,23272,24721,25021,25765,27765,28695,29736
Region C,1200,"      Professional, scientific, and technical services",91558,99652,104356,105511,107047,107871,112086,115462,118420,121312,123748,121766,120792,122584,126696,129004,130478,135095,138578
Region C,1300,      Management of companies and enterprises,2520,2603,2583,2545,2488,1740,1588,1631,1603,1594,1787,1682,2373,2421,2398,2411,2570,2657,3019
Region C,1400,      Administrative and support and waste management and remediation services,41221,43005,46941,46105,46156,47067,46837,47868,48697,49706,49268,47208,47383,50617,50979,51631,52169,52792,52749
Region C,1500,      Educational services,41478,40935,41013,42107,43600,43921,47693,48028,51072,52193,51137,53003,52438,53701,53458,59305,60839,61210,62321
Region C,1600,      Health care and social assistance,49501,50759,52858,55041,58873,56963,56794,56620,57203,60478,61263,62703,64872,67319,68616,70602,70978,71879,73983
Region C,1700,"      Arts, entertainment, and recreation",8034,9030,9925,10331,10641,10875,10917,11532,11637,12256,13472,13535,13545,13490,13778,13582,14379,14748,15500
Region C,1800,      Accommodation and food services,40062,41187,47324,46432,44508,46160,47729,50175,51184,51726,53369,53833,55425,58161,60849,63872,65895,68713,69735
Region C,1900,      Other services (except public administration),62444,63136,65659,67659,70312,68346,71037,70526,71623,74194,76062,74950,72712,75415,77013,77636,79133,79897,81457
Region C,2000,    Government and government enterprises,248892,245293,240743,245158,254113,250204,248744,247110,247172,243816,245286,251806,262359,261284,256413,252948,251755,248978,251029
Region D,100,"      Forestry, fishing, and related activities",79751,74148,68632,64452,63127,59505,61962,61486,62003,62614,61790,62263,61172,60029,59793,62269,64117,61497,60114
Region D,200,"      Mining, quarrying, and oil and gas extraction",13624,13163,12465,13394,12053,13180,12672,13492,14013,14990,19141,18779,22590,19350,26297,27842,26557,27383,27570
Region D,300,      Utilities,28472,29063,29040,29017,25973,25441,25195,25469,26059,26047,26724,25599,24517,23979,24359,24108,23881,25112,26054
Region D,400,      Construction,517234,530275,554141,585788,603998,642977,700853,801509,864391,803083,693202,561440,501095,488924,501690,533752,573696,611883,653576
Region D,500,      Manufacturing,475738,471910,469496,452607,428818,412018,416193,424318,433507,423471,397809,354049,334621,343175,349790,360055,369971,383555,397071
Region D,600,      Wholesale trade,327466,330992,340122,344078,343190,345802,361384,375965,388081,396852,383194,357258,346526,350893,359141,365887,395811,406168,420231
Region D,700,      Retail trade,1030501,1047398,1073078,1081271,1077729,1082346,1109559,1149575,1180852,1190753,1153644,1092002,1083824,1124133,1148898,1182156,1225870,1272726,1298323
Region D,800,      Transportation and warehousing,280061,274097,284263,288209,286699,283639,291807,307315,314857,320989,313447,300491,296541,312800,326344,337001,349971,400098,417414
Region D,900,      Information,187346,199227,213572,215115,200312,198209,195912,199896,198321,194179,189021,174323,168063,169460,169149,172061,177114,173642,174022
Region D,1000,      Finance and insurance,422843,429884,439931,443867,458404,464550,482580,508183,529520,562479,575817,588810,572130,615414,621990,636195,634470,659418,664267
Region D,1100,      Real estate and rental and leasing,332291,317720,350233,359529,381016,410276,473045,546268,579744,582600,556661,535601,549120,572861,588600,619730,666987,708878,734741
Region D,1200,"      Professional, scientific, and technical services",453862,484542,514969,540592,547561,563617,605526,635392,663443,691287,689792,665440,670444,685078,699585,729082,759664,797199,829160
Region D,1300,      Management of companies and enterprises,61077,65329,67631,63808,73065,72490,75093,79186,82649,87294,95673,93076,91687,95268,99384,107217,114166,119642,126440
Region D,1400,      Administrative and support and waste management and remediation services,744266,862813,935910,839343,835962,898829,915608,944910,928378,932265,826049,784573,794060,793896,810322,837318,874152,897537,927794
Region D,1500,      Educational services,92227,99177,104621,118827,129130,134965,143657,151005,161188,167923,177884,186631,196889,200520,200219,205351,217493,223530,228481
Region D,1600,      Health care and social assistance,786161,804720,821088,841821,866424,898491,925976,946838,992981,1037811,1068496,1080399,1100956,1128843,1154819,1174392,1204141,1254419,1296560
Region D,1700,"      Arts, entertainment, and recreation",207177,220637,233402,237366,238838,238882,250675,258794,266456,281169,284552,284475,288366,299249,309783,312986,333359,334401,342968
Region D,1800,      Accommodation and food services,614067,630300,638011,661902,677333,697648,739127,763579,788545,807379,810459,776221,785515,820371,855454,894727,937122,979756,1016935
Region D,1900,      Other services (except public administration),514192,533512,539087,549896,585624,599964,619127,630244,648823,673120,669164,653449,640734,680035,698611,715174,750532,789801,811688
Region D,2000,    Government and government enterprises,1056877,1065230,1092780,1112103,1128331,1141444,1161147,1177859,1195682,1214549,1220208,1204888,1202717,1180900,1164762,1163335,1158349,1164020,1176616